name,latitude,longitude
47MRQ,-5.01214061413398,102.19964825533317
47MRR,-4.108716011827838,102.19564875163059
47MRS,-3.2058097611055136,102.1924492490214
47MRT,-2.30234311501305,102.19004195686796
47MRU,-1.3988632164732706,102.18842607067279
47MRV,-0.49591724852723384,102.18759986265553
47NKA,0.4079058122030796,96.79771387001232
47NKB,1.3121309572540214,96.7971952596087
47NKC,2.21580663840437,96.79613154950748
47NKD,3.1200128543135386,96.79452015135847
47NKE,4.024202341565383,96.79235955322441
47NKF,4.927827890169246,96.78964887680344
47NKG,5.667849236007982,96.78652600901879
47NLA,0.40810293568845996,97.6961358210902
47NLB,1.31276515046499,97.69582858121846
47NLC,2.2168779392572113,97.69519840767904
47NLD,3.1215220326824484,97.69424376634721
47NLE,4.026150114188378,97.69296376001263
